Section,SubSection,Action,DedupeKey,Manual Binding
RADIO,COMMS,SET COM1 STANDBY,,
RADIO,COMMS,COM1 SWITCH TO STANDBY,,
RADIO,COMMS,COM1 SWAP,,
RADIO,COMMS,SELECT COM1 RECEIVE,,
RADIO,COMMS,SELECT COM1 TRANSMIT,,
RADIO,COMMS,DECREASE COM1 VOLUME,,
RADIO,COMMS,INCREASE COM1 VOLUME,,
RADIO,COMMS,DECREASE COM2 FREQUENCY (FRACT),,
RADIO,COMMS,"DECREASE COM2 FREQUENCY (FRACT, CARRY)",,
RADIO,COMMS,INCREASE COM2 FREQUENCY (FRACT),,
RADIO,COMMS,"INCREASE COM2 FREQUENCY (FRACT, CARRY)",,
RADIO,COMMS,COM2 SWAP,,
RADIO,COMMS,DECREASE COM2 FREQUENCY (WHOLE),,
RADIO,COMMS,INCREASE COM2 FREQUENCY (WHOLE),,
RADIO,COMMS,SELECT COM2 RECEIVE,,
RADIO,COMMS,SET COM2 STANDBY,,
RADIO,COMMS,SELECT COM2 TRANSMIT,,
RADIO,COMMS,DECREASE COM2 VOLUME,,
RADIO,COMMS,INCREASE COM2 VOLUME,,
RADIO,COMMS,DECREASE COM3 FREQUENCY (FRACT),,
RADIO,COMMS,"DECREASE COM3 FREQUENCY (FRACT, CARRY)",,
RADIO,COMMS,INCREASE COM3 FREQUENCY (FRACT),,
RADIO,COMMS,"INCREASE COM3 FREQUENCY (FRACT, CARRY)",,
RADIO,COMMS,COM3 SWAP,,
RADIO,COMMS,DECREASE COM3 FREQUENCY (WHOLE),,
RADIO,COMMS,INCREASE COM3 FREQUENCY (WHOLE),,
RADIO,COMMS,SELECT COM3 RECEIVE,,
RADIO,COMMS,SET COM3 STANDBY,,
RADIO,COMMS,DECREASE COM3 VOLUME,,
RADIO,COMMS,INCREASE COM3 VOLUME,,
RADIO,COMMS,TOGGLE COMM1 AUTOSWITCH,,
RADIO,COMMS,TOGGLE COMM2 AUTOSWITCH,,
RADIO,COMMS,TOGGLE COMM NAV1 TEST,,
RADIO,COMMS,TOGGLE COMM NAV2 TEST,,
RADIO,COMMS,TOGGLE COMM NAV3 TEST,,
RADIO,COMMS,COM RADIO,,
RADIO,COMMS,SET COM1 STORED FREQUENCY INDEX,,
RADIO,COMMS,SET COM1 STORED FREQUENCY,,
RADIO,COMMS,SET COM1 VOLUME,,
RADIO,COMMS,SET COM2,,
RADIO,COMMS,SET COM2 STORED FREQUENCY INDEX,,
RADIO,COMMS,SET COM2 STORED FREQUENCY,,
RADIO,COMMS,SET COM2 VOLUME,,
RADIO,COMMS,SET COM3,,
RADIO,COMMS,SET COM3 STORED FREQUENCY INDEX,,
RADIO,COMMS,SET COM3 STORED FREQUENCY,,
RADIO,COMMS,SET COM3 VOLUME,,
RADIO,DME,TOGGLE DME,,
RADIO,DME,TOGGLE DME 1,,
RADIO,DME,TOGGLE DME 2,,
RADIO,DME,DISABLE DME 1 IDENTIFIER,,
RADIO,DME,ENABLE DME 1 IDENTIFIER,,
RADIO,DME,SET DME 1 IDENTIFIER,,
RADIO,DME,TOGGLE DME 1 IDENTIFIER,,
RADIO,DME,DISABLE DME 2 IDENTIFIER,,
RADIO,DME,ENABLE DME 2 IDENTIFIER,,
RADIO,DME,SET DME 2 IDENTIFIER,,
RADIO,DME,TOGGLE DME 2 IDENTIFIER,,
RADIO,DME,DISABLE DME IDENTIFIER,,
RADIO,DME,ENABLE DME IDENTIFIER,,
RADIO,DME,SET DME IDENTIFIER,,
RADIO,DME,TOGGLE DME IDENTIFIER,,
RADIO,DME,DME,,
RADIO,DME,SELECT DME,,
RADIO,KOLLSMAN,DECREASE ALTIMETER,,
RADIO,KOLLSMAN,INCREASE ALTIMETER,,
RADIO,KOLLSMAN,SET ALTIMETER,KEY_KOHLSMAN_SET,
RADIO,NAV,NAV RADIO,,
RADIO,NAV,DECREASE NAV1 (FRACT),,
RADIO,NAV,"DECREASE NAV1 FREQUENCY (FRACT, CARRY)",,
RADIO,NAV,INCREASE NAV1 (FRACT),,
RADIO,NAV,"INCREASE NAV1 FREQUENCY (FRACT, CARRY)",,
RADIO,NAV,NAV1 SWAP,,
RADIO,NAV,DECREASE NAV1 (WHOLE),,
RADIO,NAV,INCREASE NAV1 (WHOLE),,
RADIO,NAV,SET NAV1 STANDBY,,
RADIO,NAV,DECREASE NAV1 VOLUME,,
RADIO,NAV,INCREASE NAV1 VOLUME,,
RADIO,NAV,SET NAV1 VOLUME,,
RADIO,NAV,DECREASE NAV2 (FRACT),,
RADIO,NAV,"DECREASE NAV2 FREQUENCY (FRACT, CARRY)",,
RADIO,NAV,INCREASE NAV2 (FRACT),,
RADIO,NAV,"INCREASE NAV2 FREQUENCY (FRACT, CARRY)",,
RADIO,NAV,SET NAV2,,
RADIO,NAV,NAV2 SWAP,,
RADIO,NAV,DECREASE NAV2 (WHOLE),,
RADIO,NAV,INCREASE NAV2 (WHOLE),,
RADIO,NAV,SET NAV2 STANDBY,,
RADIO,NAV,DECREASE NAV2 VOLUME,,
RADIO,NAV,INCREASE NAV2 VOLUME,,
RADIO,NAV,SET NAV2 VOLUME,,
RADIO,NAV,DECREASE NAV3 (FRACT),,
RADIO,NAV,"DECREASE NAV3 FREQUENCY (FRACT, CARRY)",,
RADIO,NAV,INCREASE NAV3 (FRACT),,
RADIO,NAV,"INCREASE NAV3 FREQUENCY (FRACT, CARRY)",,
RADIO,NAV,INCREASE NAV3 (WHOLE),,
RADIO,NAV,INCREASE NAV3 (WHOLE),,
RADIO,NAV,DECREASE NAV3 VOLUME,,
RADIO,NAV,INCREASE NAV3 VOLUME,,
RADIO,NAV,SET NAV3 VOLUME,,
RADIO,NAV,DECREASE NAV4 (FRACT),,
RADIO,NAV,"DECREASE NAV4 FREQUENCY (FRACT, CARRY)",,
RADIO,NAV,INCREASE NAV4 (FRACT),,
RADIO,NAV,"INCREASE NAV4 FREQUENCY (FRACT, CARRY)",,
RADIO,NAV,INCREASE NAV4 (WHOLE),,
RADIO,NAV,INCREASE NAV4 (WHOLE),,
RADIO,NAV,DECREASE NAV4 VOLUME,,
RADIO,NAV,INCREASE NAV4 VOLUME,,
RADIO,NAV,SET NAV4 VOLUME,,
RADIO,NAV,SET NAV4 VOLUME,,
RADIO,NAV,TOGGLE NAV1 AUTOSWITCH,,
RADIO,NAV,TOGGLE NAV2 AUTOSWITCH,,
RADIO,NAV,SET NAV1,,
RADIO,VOR,DISABLE VOR 1 IDENTIFIER,,
RADIO,VOR,ENABLE VOR 1 IDENTIFIER,,
RADIO,VOR,SET VOR 1 IDENTIFIER,,
RADIO,VOR,TOGGLE VOR 1 IDENTIFIER,,
RADIO,VOR,DISABLE VOR 2 IDENTIFIER,,
RADIO,VOR,ENABLE VOR 2 IDENTIFIER,,
RADIO,VOR,SET VOR 2 IDENTIFIER,,
RADIO,VOR,TOGGLE VOR 2 IDENTIFIER,,
RADIO,VOR,DISABLE VOR 3 IDENTIFIER,,
RADIO,VOR,ENABLE VOR 3 IDENTIFIER,,
RADIO,VOR,SET VOR 3 IDENTIFIER,,
RADIO,VOR,TOGGLE VOR 3 IDENTIFIER,,
RADIO,VOR,DISABLE VOR 4 IDENTIFIER,,
RADIO,VOR,ENABLE VOR 4 IDENTIFIER,,
RADIO,VOR,SET VOR 4 IDENTIFIER,,
RADIO,VOR,TOGGLE VOR 4 IDENTIFIER,,
RADIO,VOR,DECREASE VOR1 OBS,,
RADIO,VOR,INCREASE VOR1 OBS,,
RADIO,VOR,SET VOR1,,
RADIO,VOR,DECREASE VOR2 OBS,,
RADIO,VOR,INCREASE VOR2 OBS,,
RADIO,VOR,SET VOR2,,
RADIO,VOR,DECREASE VOR3 OBI,,
RADIO,VOR,DECREASE VOR3 OBI (FAST),,
RADIO,VOR,INCREASE VOR3 OBI (FAST),,
RADIO,VOR,INCREASE VOR3 OBI,,
RADIO,VOR,SET VOR3,,
RADIO,VOR,DECREASE VOR4 OBI,,
RADIO,VOR,DECREASE VOR4 OBI (FAST),,
RADIO,VOR,INCREASE VOR4 OBI (FAST),,
RADIO,VOR,INCREASE VOR4 OBI,,
RADIO,VOR,SET VOR4,,
RADIO,VOR,VOR OBS,,
RADIO,TACAN,SET TACAN 1 ACTIVE CHANNEL,,
RADIO,TACAN,SET TACAN 1 ACTIVE MODE,,
RADIO,TACAN,DECREASE TACAN 1 OBI,,
RADIO,TACAN,FAST DECREASE TACAN 1 OBI,,
RADIO,TACAN,FAST INCREASE TACAN 1 OBI,,
RADIO,TACAN,INCREASE TACAN 1 OBI,,
RADIO,TACAN,SET TACAN 1,,
RADIO,TACAN,SET TACAN 1 STANDBY CHANNEL,,
RADIO,TACAN,SET TACAN 1 STANDBY MODE,,
RADIO,TACAN,SWAP TACAN 1,,
RADIO,TACAN,DECREASE TACAN 1 VOLUME,,
RADIO,TACAN,INCREASE TACAN 1 VOLUME,,
RADIO,TACAN,SET TACAN 1 VOLUME,,
RADIO,TACAN,SET TACAN 2 ACTIVE CHANNEL,,
RADIO,TACAN,SET TACAN 2 ACTIVE MODE,,
RADIO,TACAN,DECREASE TACAN 2 OBI,,
RADIO,TACAN,FAST DECREASE TACAN 2 OBI,,
RADIO,TACAN,FAST INCREASE TACAN 2 OBI,,
RADIO,TACAN,INCREASE TACAN 2 OBI,,
RADIO,TACAN,SET TACAN 2,,
RADIO,TACAN,SET TACAN 2 STANDBY CHANNEL,,
RADIO,TACAN,SET TACAN 2 STANDBY MODE,,
RADIO,TACAN,SWAP TACAN 2,,
RADIO,TACAN,DECREASE TACAN 2 VOLUME,,
RADIO,TACAN,INCREASE TACAN 2 VOLUME,,
RADIO,TACAN,SET TACAN 2 VOLUME,,
RADIO,TACAN,TOGGLE TACAN DRIVES GPS,,
RADIO,OBI,DECREASE VOR1 OBS (FAST),,
RADIO,OBI,INCREASE VOR1 OBS (FAST),,
RADIO,OBI,DECREASE VOR2 OBS (FAST),,
RADIO,OBI,INCREASE VOR2 OBS (FAST),,
RADIO,XPNDR,DECREASE TRANSPONDER (1),,
RADIO,XPNDR,INCREASE TRANSPONDER (1),,
RADIO,XPNDR,DECREASE TRANSPONDER (10),,
RADIO,XPNDR,INCREASE TRANSPONDER (10),,
RADIO,XPNDR,DECREASE TRANSPONDER (100),,
RADIO,XPNDR,INCREASE TRANSPONDER (100),,
RADIO,XPNDR,DECREASE TRANSPONDER (1000),,
RADIO,XPNDR,INCREASE TRANSPONDER (1000),,
RADIO,XPNDR,"DECREASE TRANSPONDER (1, CARRY)",,
RADIO,XPNDR,TRANSPONDER IDENT OFF,,
RADIO,XPNDR,TRANSPONDER IDENT ON,,
RADIO,XPNDR,TRANSPONDER IDENT SET,,
RADIO,XPNDR,TRANSPONDER IDENT TOGGLE,,
RADIO,XPNDR,"INCREASE TRANSPONDER (1, CARRY)",,
RADIO,XPNDR,SET TRANSPONDER,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,TOGGLE AILERON TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET AILERON TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,AILERON TRIM LEFT,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,AILERON TRIM RIGHT,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,ELEVATOR TRIM AXIS (-100 TO 100%),,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,ELEVATOR TRIM DOWN (NOSE DOWN),,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,ELEVATOR TRIM UP (NOSE UP),,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,TOGGLE ELEVATOR TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET ELEVATOR TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET RUDDER TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,TOGGLE RUDDER TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,RUDDER TRIM LEFT,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,RUDDER TRIM RIGHT,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,RUDDER TRIM SET,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET HELICOPTER FORCE TRIM RELEASE BUTTON,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,DECREASE ROTOR LATERAL TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,INCREASE ROTOR LATERAL TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET ROTOR LATERAL TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,DECREASE ROTOR LONGITUDINAL TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,INCREASE ROTOR LONGITUDINAL TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,SET ROTOR LONGITUDINAL TRIM,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,ROTOR TRIM RESET,,
FLIGHT CONTROL SURFACES,CONTROL TRIMMING SURFACES,RESET RUDDER TRIM,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS AXIS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,SPOILERS AXIS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS 1,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS 2,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS 3,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS 4,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,DECREASE FLAPS (CONTINUOUS),,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,INCREASE FLAPS (CONTINUOUS),,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,SET FLAPS (CONTINUOUS),,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,DECREASE FLAPS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,EXTEND FLAPS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,INCREASE FLAPS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,FLAPS AXIS (0 TO 100%),,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,RETRACT FLAPS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,DISARM AUTO SPOILERS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,ARM AUTO SPOILERS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,SET AUTO SPOILERS ARMING,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,TOGGLE ARM SPOILERS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,INCREMENT SPOILERS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,DECREMENT SPOILERS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,RETRACT SPOILERS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,EXTEND SPOILERS,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,SPOILER SET,,
FLIGHT CONTROL SURFACES,SECONDARY CONTROL SURFACES,TOGGLE SPOILERS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,HORIZONTAL THRUST VECTOR AXIS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,VERTICAL THRUST VECTOR AXIS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,SET VERTICAL SPEED,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,DECREASE HORIZONTAL THRUST VECTOR,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,INCREASE HORIZONTAL THRUST VECTOR,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,DECREASE VERTICAL THRUST VECTOR,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,INCREASE VERTICAL THRUST VECTOR,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,DECREASE VERTICAL SPEED,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,INCREASE VERTICAL SPEED,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,SET VERTICAL SPEED TO 0,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CENTER AILERON,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,AILERON LEFT (ROLL LEFT),,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,AILERON RIGHT (ROLL RIGHT),,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER AXIS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CENTER AILER RUDDER,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,ELEVATOR DOWN (PITCH DOWN),,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,ELEVATOR UP (PITCH UP),,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CENTER RUDDER,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER LEFT (YAW LEFT),,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER RIGHT (YAW RIGHT),,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CYCLIC LEFT,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CYCLIC RIGHT,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CYCLIC DOWN,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,CYCLIC UP,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,DECREMENT TAIL ROTOR,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,INCREMENT TAIL ROTOR,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER AXIS LEFT,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,RUDDER AXIS RIGHT,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,AILERONS AXIS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,ELEVATOR AXIS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,SET CYCLIC LATERAL AXIS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,SET CYCLIC LONGITUDINAL AXIS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,TAIL ROTOR AXIS,,
FLIGHT CONTROL SURFACES,PRIMARY CONTROL SURFACES,TOGGLE WATER RUDDER,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,BEACON LIGHTS OFF,,
LIGHTS,EXTERIOR LIGHTS,BEACON LIGHTS ON,,
LIGHTS,EXTERIOR LIGHTS,SET BEACON LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,LANDING LIGHTS DOWN,,
LIGHTS,EXTERIOR LIGHTS,LANDING LIGHTS HOME,,
LIGHTS,EXTERIOR LIGHTS,LANDING LIGHTS LEFT,,
LIGHTS,EXTERIOR LIGHTS,LANDING LIGHTS RIGHT,,
LIGHTS,EXTERIOR LIGHTS,LANDING LIGHTS UP,,
LIGHTS,EXTERIOR LIGHTS,LANDING LIGHTS OFF,,
LIGHTS,EXTERIOR LIGHTS,LANDING LIGHTS ON,,
LIGHTS,EXTERIOR LIGHTS,SET LANDING LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE LANDING LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,NAV LIGHTS OFF,,
LIGHTS,EXTERIOR LIGHTS,NAV LIGHTS ON,,
LIGHTS,EXTERIOR LIGHTS,SET NAV LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,SET RECOGNITION LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,STROBES OFF,,
LIGHTS,EXTERIOR LIGHTS,STROBES ON,,
LIGHTS,EXTERIOR LIGHTS,SET STROBES,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE STROBES,,
LIGHTS,EXTERIOR LIGHTS,TAXI LIGHTS OFF,,
LIGHTS,EXTERIOR LIGHTS,TAXI LIGHTS ON,,
LIGHTS,EXTERIOR LIGHTS,SET TAXI LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE BEACON LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE LOGO LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE NAV LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE RECOGNITION LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE TAXI LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,TOGGLE WING LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,WING LIGHTS OFF,,
LIGHTS,EXTERIOR LIGHTS,WING LIGHTS ON,,
LIGHTS,EXTERIOR LIGHTS,SET WING LIGHTS,,
LIGHTS,EXTERIOR LIGHTS,SET LOGO LIGHTS,,
LIGHTS,INTERIOR LIGHTS,CABIN LIGHTS OFF,,
LIGHTS,INTERIOR LIGHTS,CABIN LIGHTS ON,,
LIGHTS,INTERIOR LIGHTS,SET CABIN LIGHTS,,
LIGHTS,INTERIOR LIGHTS,GLARESHIELD LIGHTS OFF,,
LIGHTS,INTERIOR LIGHTS,GLARESHIELD LIGHTS ON,,
LIGHTS,INTERIOR LIGHTS,SET GLARESHIELD LIGHTS,,
LIGHTS,INTERIOR LIGHTS,TOGGLE GLARESHIELD LIGHTS,,
LIGHTS,INTERIOR LIGHTS,DECREASE LIGHT POTENTIOMETER,,
LIGHTS,INTERIOR LIGHTS,INCREASE LIGHT POTENTIOMETER,,
LIGHTS,INTERIOR LIGHTS,PANEL LIGHTS OFF,,
LIGHTS,INTERIOR LIGHTS,PANEL LIGHTS ON,,
LIGHTS,INTERIOR LIGHTS,SET PANEL LIGHTS,,
LIGHTS,INTERIOR LIGHTS,PEDESTAL LIGHTS OFF,,
LIGHTS,INTERIOR LIGHTS,PEDESTAL LIGHTS ON,,
LIGHTS,INTERIOR LIGHTS,SET PEDESTAL LIGHTS,,
LIGHTS,INTERIOR LIGHTS,TOGGLE PEDESTAL LIGHTS,,
LIGHTS,INTERIOR LIGHTS,TOGGLE CABIN LIGHTS,,
LIGHTS,INTERIOR LIGHTS,TOGGLE FLASHLIGHT,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,ALTERNATOR OFF,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,ALTERNATOR ON,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET ALTERNATOR,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET APU,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,TOGGLE APU,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,APU OFF,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,APU STARTER,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET BATTERY 1,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET BATTERY 2,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET BATTERY 3,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET BATTERY 4,,
INSTRUMENTS AND SYSTEMS,ELECTRICS,SET CABIN LIGHTS POWER SETTING,,
